bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-11_acq-denoised_T1w	0.5707842565597667	1.4783379217088306	0.6305	-1.0	3.999438822504102	3.839137442792394	4.146098740230693	4.01308028448922	0.2753587924451974	0.37488064414395433	0.34976056341084827	0.49697449803352356	0.08376968801021578	0.0	0.0019423918544277186	5.159501911706591	5.053365464064726	5.155715815103978	224	272	288	0.8254450449790277	3.3078325170546057	3.86950420853776	7.475235063579645	1.7361741499639012	5.640219806098943	5.411858161148737	8.859180527383366	0.800000011920929	0.7986109852790833	0.7986109852790833	241.3457	0.0	5.9835	0.0	3391367.0	0.0	5.0	69.8088	-0.3601	201.2603	243.7232	185.0	916783.6941867897	0.0	641.0	224.1214	1.4209	105.4954	601.2774	601.0	1248133.2401463764	292.0	941.0	181.6899	0.0141	90.2836	900.761	944.0	1164498.0665306626	653.0	1042.0	126.2836	0.2152654971875751	0.5311643584037352	0.5516455788374751	0.633563194003886
sub-11_acq-mp2rage_T1w	0.2239018558951965	1.508502612395608	0.7302	1.5632	3.5694994295755333	3.445312448660844	3.7121327588099806	3.5510530812557763	0.2112171964585914	0.3993154288819081	0.38946737465950054	1.0419504642486572	0.05726885795593262	0.0	0.00041103161150647487	5.1381635536456205	5.1710093732192375	5.25338057551291	224	272	288	0.922558297657619	0.0	1.4391497670447377	3.3948910034765944	0.1638072649129146	0.0	0.35590253139713574	0.9039003292784926	0.800000011920929	0.7986109852790833	0.7986109852790833	0.5051	663.9061	541.9677	466.0	3194706.0	0.0	1661.0	540.8312	0.8159	203.8287	181.201	166.0	700411.6422592964	0.0	492.0	179.9343	4.2285	0.0	25.2963	0.0	1324159.1120990193	0.0	165.0	58.4991	3.6564	205.0941	867.8668	916.0	1291502.2453920164	420.0	1181.0	269.8171	0.23721230337108573	0.4121268260130181	0.4718990117796932	0.38716099479108174
sub-14_acq-denoised_T1w	0.5114056379821958	1.9374848258750264	0.5729	-1.0	4.102643292214345	4.018637440117636	4.260297019093748	4.0289954174316485	0.2773761832283498	0.3814699724300254	0.3411538443416248	0.3938826024532318	0.07557406127452854	0.0	0.0011463261850614087	5.564058653069399	5.495893178737166	5.596787274905914	224	272	288	1.2307833957341392	4.36277807310431	5.379804348422312	10.54585157642849	7.791301847740814	17.359567274790937	17.241103036170315	26.5724399859792	0.800000011920929	0.7986109852790833	0.7986109852790833	843.155	0.0	1.8757	0.0	4046998.0	0.0	5.0	23.9644	-0.8336	200.8391	303.1456	285.0	857819.9645191696	5.0	693.0	231.5597	-0.6806	110.5059	634.9659	635.0	1179742.8113922058	397.0	895.0	145.5494	-0.0499	61.8378	941.5176	972.0	1055060.2263056887	751.0	1046.0	92.1689	0.2094433013088097	0.5134192135690817	0.5364665059098611	0.6679896578201666
sub-14_acq-mp2rage_T1w	0.4244607449856733	1.2139921858441283	0.71	1.5814	3.6900636701829757	3.6240124459980065	3.8536159115373554	3.5925626530135646	0.34337535582051343	0.29773653295169106	0.35888811122779546	0.9877304434776306	0.08620360493659973	0.0	0.0005116213838361028	5.619710189173106	5.5858853748574155	5.683787486195845	224	272	288	0.0	1.2735134686872223	2.042211718968357	4.853121688217848	0.0	0.2835044131797691	0.4528510493191511	1.0750487347776843	0.800000011920929	0.7986109852790833	0.7986109852790833	0.7218	577.7127	503.7459	416.0	3737174.0	0.0	1562.0	503.8734	1229.0972	0.0	16.2387	0.0	1053809.0091546935	0.0	116.0	53.7385	0.0218	153.4328	253.1581	250.0	913744.7852925712	0.0	578.0	196.3072	4.7504	142.8408	912.0858	948.0	1101417.2056309485	566.0	1142.0	195.3381	0.1472307651981423	0.3861168861698553	0.4757497580436017	0.4224113728849512
sub-15_acq-denoised_T1w	0.48415469168900804	2.0994623400823995	0.5262	-1.0	3.9930225810282565	3.862349942446501	4.183701528764219	3.933016271874048	0.28196199892641693	0.3798405335416425	0.33819746753194047	0.39026665687561035	0.0766754001379013	0.0	0.0018014041783925804	6.1792756562652995	6.122852158375875	6.230074790181708	224	272	288	1.1674605487460963	3.871323075609795	5.426949089498227	11.242063644138792	22.807029083632575	53.874871851100565	54.68299492886708	87.36708385186809	0.800000011920929	0.7986109852790833	0.7986109852790833	5002.615	0.0	2.3421	0.0	4785555.0	0.0	9.0	7.2962	-0.8515	194.8288	276.3413	254.0	786351.4133163876	0.0	646.0	217.5661	-0.6902	117.637	603.4583	600.0	1059320.5521403234	352.0	869.0	154.9857	-0.1773	62.9527	946.7917	973.0	943184.037516938	769.0	1046.0	86.5499	0.21489698954410974	0.506368738716142	0.5296849712419176	0.6981043471104946
sub-15_acq-mp2rage_T1w	0.4335921810699589	1.3466503969599835	0.6997	1.4117	3.4254302107734684	3.3270874504225336	3.5763845635079647	3.372818618389907	0.3800046881785574	0.253645128167854	0.3663501836535885	0.9771953821182251	0.05176466703414917	0.0	0.0006824659880296838	6.264964542534005	6.2313702532668955	6.3133739263323925	224	272	288	0.0	1.0638940025195602	1.9057854401489227	4.653462317927208	0.0	0.26619542704955357	0.47693347346378356	1.164604993341797	0.800000011920929	0.7986109852790833	0.7986109852790833	0.8127	531.5999	461.3246	377.0	5005936.0	0.0	1395.0	458.9041	3054.266	0.0	7.6381	0.0	1050572.3611911705	0.0	65.0	36.9589	-0.7298	165.56	237.3535	216.0	701234.9307615089	0.0	592.0	203.0276	4.9954	150.5287	914.728	945.0	1012822.7083422783	564.0	1153.0	203.0745	0.13462331101459651	0.3259612180677966	0.4400251269993251	0.42750406137242297
sub-16_acq-denoised_T1w	0.4571169712793734	2.2282645504300067	0.5226	-1.0	3.8052321123206903	3.6856749450791635	3.9446865345824214	3.7853348573004872	0.28076388050962586	0.38782650129480833	0.33140961819556586	0.42203137278556824	0.08595484942197795	0.0	0.001341503259400638	6.575291257400072	6.527269112382153	6.646066587224856	224	272	288	1.300963264119859	4.027131767563017	5.476946794532551	11.102745351914773	10.77490307725463	21.958509374680986	22.974074952077398	36.188812404296584	0.800000011920929	0.7986109852790833	0.7986109852790833	1561.2941	0.0	2.686	0.0	3913089.0	0.0	10.0	17.6326	-0.803	182.2403	302.6379	290.0	735093.7465652907	0.0	670.0	222.9116	-0.6792	112.7625	593.2672	591.0	1015404.2440809445	353.0	836.0	146.7545	-0.0937	62.3133	947.8392	974.0	867694.0119396831	767.0	1049.0	87.726	0.2189247078900348	0.5195007164091647	0.532153706101985	0.6795921209931433
sub-16_acq-mp2rage_T1w	0.19770743534482757	1.6381178006697201	0.6943	1.9208	3.3757686329331253	3.284499951057137	3.5022934213991164	3.340512526343122	0.21745109768525075	0.39385690071038354	0.3886920016043658	1.0058706998825073	0.05623494386672967	0.0	0.0005126657766769249	6.605814032700286	6.6314226773379845	6.730965121930406	224	272	288	0.8051797835118036	0.0	1.612594262546497	4.0326030041276875	0.19498954669364052	0.0	0.49893008710339193	1.3018007146165353	0.800000011920929	0.7986109852790833	0.7986109852790833	-0.0801	467.0197	469.1108	315.0	3981854.0	0.0	1499.0	514.7138	0.5613	228.4242	168.2011	139.0	564605.6862862731	0.0	467.0	172.6321	4.8927	0.0	23.6297	0.0	1022638.4142978449	0.0	157.0	55.1284	1.6413	183.4725	878.4708	928.0	1009227.8983915354	464.0	1154.0	230.1242	0.2353893448720809	0.41658385389846503	0.47685310779768436	0.4442241414823655
sub-17_acq-denoised_T1w	0.4921401595744681	1.880724038366424	0.5646	-1.0	3.8091534615917353	3.7973374434152625	3.8564333032856215	3.7736896380743206	0.2829858593822822	0.378468897728803	0.33854524288891474	0.4575398415327072	0.06906612068414691	0.0	0.0027787225004738056	6.003871692006937	5.929138010547159	6.0401160275544346	224	272	288	1.0756767343804896	3.499313104892585	4.531386452722168	9.019169518893428	8.594075232546253	21.875827864663187	22.111451860937905	35.864452485604275	0.800000011920929	0.7986109852790833	0.7986109852790833	1451.4016	0.0	2.8074	0.0	3908799.0	0.0	10.0	17.6094	-0.7629	191.9846	263.8466	231.0	811240.6572932095	0.0	632.0	214.7484	-0.4704	112.6477	590.1033	588.0	1084963.6021699172	310.0	893.0	168.0329	-0.1476	72.397	927.8109	964.0	970513.742150212	710.0	1047.0	106.8834	0.2013059926643122	0.5134001505760153	0.5277318853293503	0.6625709502347906
sub-17_acq-mp2rage_T1w	0.1977044228694714	1.6108815703773707	0.7154	1.995	3.271039530574573	3.265374951342121	3.3445194834962115	3.203224156885387	0.217906509093509	0.3854375112776863	0.3966559796288046	1.017198622226715	0.055269488692283764	0.0	0.00043806912128595483	5.991540263000061	6.017992709620052	6.135435655637548	224	272	288	0.5895520055430606	0.0	1.4950112207152226	3.895481656602607	0.13159897492298656	0.0	0.4169313089303183	1.1191949518679682	0.800000011920929	0.7986109852790833	0.7986109852790833	-0.0898	542.6324	492.5813	366.0	3828750.0	0.0	1524.0	517.6279	1.8436	324.0824	170.4578	109.0	620000.67394058	0.0	496.0	184.886	2.9222	0.0	41.3379	0.0	1096669.9331207077	0.0	232.0	81.1686	2.3273	183.272	881.3954	927.0	1128589.3923750876	466.0	1167.0	237.9679	0.2416437025521004	0.4240842558642601	0.45707183809086455	0.4387693149561619
