trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0648652	0.00179
-0.0005	0.0343	0.0158	5.93411945678072e-05	-3.665191429188092e-05	5.061454830783555e-05	0.86262101	66.26275635	0.90295054	0.057930382858376185	0.0647088	0.00169
-0.0046	-0.1095	-0.0067	-0.00013962634015954637	0.0001186823891356144	-2.094395102393195e-05	1.08836591	83.60348511	1.02560819	0.1916930168743308	0.0603557	0.00122
0.0008	0.0391	0.0044	-0.00010297442586766544	-2.268928027592628e-05	4.363323129985824e-05	1.09792411	84.33770752	1.02195479	0.17723003830136058	0.0644041	0.00185
0.0004	0.0502	0.0275	0.00017453292519943296	-0.00019024088846738194	7.155849933176751e-05	0.85061812	65.34074402	0.89725489	0.05824921136452317	0.0620769	0.00141
0.0001	-0.1029	0.0062	0.00013788101090755203	-6.806784082777885e-05	0.00021642082724729686	1.11168611	85.39484406	1.03028624	0.1898843644923507	0.0573315	0.00083
0.002	-0.0284	-0.0088	0.00024609142453120044	-1.5707963267948964e-05	0.00028099800957108706	0.94883454	72.88529968	0.93928522	0.10265737367536341	0.0622536	0.00121
0.0065	0.0717	0.0126	0.0004956735075663896	-0.0002024581932313422	0.00038048177693476387	0.94730234	72.76760101	0.95248936	0.15279080401811296	0.0653029	0.00143
0.005	-0.055	0.0121	0.0004049163864626844	-0.00015184364492350666	0.00039095375244672985	1.01633227	78.07017517	0.9692363	0.13629218224617534	0.0591928	0.00088
0.0077	-0.0164	0.0208	0.0004206243497306334	-0.00017453292519943296	0.0004415683007545654	0.86502033	66.44705963	0.8970832	0.05445058959258554	0.059635	0.00086
0.0117	-0.009	0.0268	0.0005340707511102648	-0.0001832595714594046	0.0005689773361501514	0.80586457	61.90297318	0.86952487	0.029879104151759452	0.0601871	0.00086
0.0126	-0.1206	0.0107	0.000307177948351002	-7.504915783575618e-05	0.0005131268000863328	0.98028553	75.30122375	0.96032971	0.14814768762233646	0.0567362	0.00072
0.0221	-0.0175	0.0101	0.0003682644721708035	-0.00012042771838760874	0.0006754424205218055	0.94315398	72.44894409	0.9333528	0.12663903524035636	0.060786	0.00108
0.0215	-0.149	-0.0358	0.00042236967898262774	5.93411945678072e-05	0.000804596785169386	1.10987651	85.25583649	1.04080327	0.19615142422074103	0.0615216	0.0012
0.022	0.0809	-0.0144	0.000635299847725936	-0.0001239183768915974	0.000752236907609556	1.37254119	105.43257904	1.16875545	0.2742274808881271	0.0675082	0.0019
