bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-11_T2w	63.213590909090904	0.022797470950766455	0.5673	254.0852	2.732585767119557	2.5260749623585497	2.7624011392134133	2.909281199786707	0.2413630398975262	0.34911398430342494	0.4095229757990488	0.9230433702468872	0.40768691301345816	0.0	0.0009954561663039832	4.842550992921128	4.674375883158677	4.722342412964799	208	288	288	1.9240091373128818	2.6049246005410494	3.884354550597527	7.124129913938651	32.74501107325185	16.151564326499283	21.626843051016966	15.983953753299764	0.800000011920929	0.7708330154418945	0.7708330154418945	26.6205	42.9955	92.1814	29.0	3234189.0	0.0	294.0	213.4225	0.5108	1118.151	2120.9816	2149.0	843017.137660719	189.0	3780.0	1116.9379	0.6307	567.7194	1042.7768	1060.0	1219362.632695359	289.0	1662.0	406.9214	129.3049	127.6301	1054.5862	1049.0	1430355.2317330274	836.0	1287.0	147.246	0.23052345328435647	0.4532579086419152	0.5076611127251935	0.2542344807774575
sub-14_T2w	8.889291379310345	0.17688813828176636	0.5308	734.5428	2.716460666964634	2.550049962001294	2.808792509696552	2.7905395291960553	0.23378828653061984	0.35660524127264953	0.4096064721967307	0.9341888129711151	0.49456608295440674	0.0	0.0006534551376224254	5.220666381874981	5.03206528458789	5.072410307031942	208	288	288	1.5034584687264554	3.6204517656312327	4.25277096186053	7.634402651223902	53.72040203503498	33.772520668323985	39.81159445761307	31.941860669480253	0.800000011920929	0.7708330154418945	0.7708330154418945	136.4228	20.7564	29.9311	14.0	4263055.0	0.0	102.0	50.9422	-0.9877	1778.6402	1829.6894	1702.0	759537.464278385	154.0	3769.0	1132.0558	9.979	410.1426	1074.4638	1070.0	1158548.3803489674	599.0	1534.0	295.5431	239.2431	105.4363	1016.6995	1012.0	1330740.157520991	829.0	1213.0	132.5578	0.21157643648980062	0.47545602676604026	0.4968918004270994	0.24291433423580533
sub-15_T2w	6.9807	0.2192279945355906	0.5325	348.182	2.65318734085461	2.474262463130616	2.7060076024432216	2.7792919569899923	0.2504623345752845	0.35522317744273113	0.3943144879819844	0.9187944829463959	0.374032786488533	0.0	0.0007510134367232368	5.799188658500173	5.612649402437318	5.659768270602302	208	288	288	1.4963218339378797	3.505546327048118	3.8656199751779012	6.5949917645477045	17.559299846091108	11.882151981741407	13.494447611781263	11.041891007511278	0.800000011920929	0.7708330154418945	0.7708330154418945	5.3367	60.8152	58.1838	45.0	4150367.0	0.0	172.0	58.59	-1.1233	1780.7383	1745.1015	1630.0	732418.9906001724	157.0	3614.0	1089.3371	8.1444	427.9623	1102.7223	1103.0	1038767.7712162663	592.0	1579.0	314.6441	196.2771	116.5323	1031.3864	1025.0	1153081.239766132	819.0	1254.0	155.4209	0.22620188329224647	0.4905689804151472	0.517966639552542	0.2590923524392914
sub-16_T2w	7.457902777777777	0.20559671845582195	0.5267	497.9225	2.269771667633778	2.137524968148396	2.3105263582657924	2.361263676487145	0.2558045153336818	0.3541596382397386	0.3900358464265795	0.8895178139209747	0.44876162707805634	0.0	0.0010247698152481266	6.229221583772256	6.047062550937931	6.096344212315958	208	288	288	1.546825061566671	3.6416232177198387	4.022434990414557	6.878856691957163	60.73888848828226	45.03194047312461	49.30348047042664	42.13961244987308	0.800000011920929	0.7708330154418945	0.7708330154418945	125.0845	16.3086	35.2369	11.0	3907638.0	0.0	127.0	68.0146	-1.1744	1576.0035	1604.6966	1512.0	696155.6172846761	152.0	3320.0	977.4854	7.323	422.9317	1119.1621	1121.0	963822.7896583165	621.0	1584.0	307.8296	192.15	114.0373	1054.9086	1049.0	1061457.5942025788	846.0	1273.0	152.4962	0.22166088505220113	0.490668011012397	0.5130396371844294	0.28947506186631905
sub-17_T2w	6.280780681818182	0.244309671225928	0.5335	641.7778	2.5090476084810773	2.3917374643603346	2.554353485847055	2.581051875235841	0.2457880497839592	0.35534177240018616	0.3988701778158546	0.9002448916435242	0.4526466250419616	0.0	0.001629823804778738	5.737754444036088	5.550695043578832	5.595975742838145	208	288	288	1.5485201371935613	3.3899780526826353	3.803624973224776	6.472376729798131	58.36260617003392	37.18619170065062	43.24792617958057	34.194980668057156	0.800000011920929	0.7708330154418945	0.7708330154418945	78.1529	19.2738	27.5804	13.0	4037954.0	0.0	101.0	37.9361	-1.0215	1845.2968	1808.8287	1717.0	726567.4179789559	137.0	3674.0	1108.7998	7.7295	433.0076	1093.8703	1094.0	1050416.2195835062	576.0	1588.0	322.7158	179.0845	119.7011	1011.9668	1006.0	1179089.3636171648	797.0	1240.0	155.4297	0.2132502645165868	0.48481951036568866	0.5071133876400498	0.25033052802123495
