trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0152973	0.00036
0.0044	-0.0828	0.0251	-0.0006876597252857658	0.00042935099599060504	0.00028099800957108706	1.00328803	75.43106079	0.94579948	0.1822004365423729	0.0205181	0.00061
-0.0042	0.0877	-0.0436	-0.000153588974175501	9.599310885968811e-05	0.0001675516081914556	1.25353754	94.24578094	1.06755294	0.2968437519810406	0.0148315	0.00019
-0.0052	-0.0273	-0.0298	-0.0007068583470577034	0.00013788101090755203	0.0002565634000431664	1.05236924	79.12117004	0.96574716	0.16400845333908887	0.0163308	0.00019
-0.0008	-0.0122	-0.0326	-0.0004729842272904633	-7.330382858376184e-05	0.0002495820830351891	0.94914091	71.36006927	0.91599512	0.04490201381332656	0.0146577	0.00014
-0.0021	0.0058	-0.0414	-0.0002600540585471551	-0.0002722713633111154	0.00012740903539558605	0.90245664	67.85016632	0.89298738	0.054803537555513246	0.0135965	9e-05
0.0005	-0.0769	-0.0196	-0.0008587019919812101	1.7453292519943296e-05	0.00031415926535897925	0.95866799	72.07635498	0.9187851	0.1608561409614253	0.0172011	0.00028
-0.0014	0.0607	-0.0425	-0.00020420352248333657	-0.0002565634000431664	0.0001832595714594046	1.0381608	78.05293274	0.95486282	0.21537074279802793	0.0131813	0.0001
-0.0009	-0.077	-0.0154	-0.0008569566627292158	-3.4906585039886588e-06	0.00032463124087094524	1.05675519	79.45092773	0.96346711	0.21765987755982988	0.0176262	0.00024
0.0027	0.0623	-0.0833	-0.0003822271061867582	-0.0004991641660703782	5.93411945678072e-05	1.14413989	86.02084351	1.00787932	0.27258465552059924	0.0143556	0.00017
0.0015	-0.0367	-0.0467	-0.0007539822368615504	-0.00020943951023931956	0.00022340214425527416	1.05634904	79.4203949	0.96691065	0.17807703680966588	0.016844	0.00023
0.0002	0.0295	-0.0905	-0.00033335788713091696	-0.0004572762640225143	0.00015707963267948963	1.05404603	79.24724579	0.96294557	0.14803918075448064	0.0146137	0.00015
-0.0	0.0051	-0.0535	-0.00016406094968746698	-0.00041713369122664475	0.00012740903539558605	0.99939114	75.13807678	0.93970182	0.07355550537616115	0.0144734	0.0002
0.0057	-0.1549	0.009	-0.0010873401239924673	-0.00027925268031909274	0.0002548180707911721	1.32766652	99.81908417	1.1148373	0.2876284610304069	0.0228723	0.0007
0.0022	0.0804	-0.0074	0.00024085543677521747	-0.00028099800957108706	0.0002740166925631097	1.39956045	105.22434998	1.14390703	0.3226569755895808	0.0127038	0.0001
