trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.032252	0.00544
-0.0027	-0.0719	0.0119	-0.0005864306286700947	6.45771823237902e-05	0.0002303834612632515	0.92300004	74.22242737	0.92805747	0.13056956361285682	0.0362528	0.00679
0.0013	0.0209	-0.0267	-0.0008831366015091308	-1.7453292519943294e-06	0.0002897246558310587	1.01990259	82.01477814	0.96718931	0.1565184839491314	0.0330184	0.006
0.0125	0.1252	-0.0168	-0.0008011061266653974	0.00030368728984701333	0.00032463124087094524	0.98079157	78.86969757	0.96587953	0.1465184839491314	0.0342731	0.00791
0.0233	-0.0652	-0.0003	-0.001254891732183923	0.0006527531402458793	0.0005951572749300663	1.18610775	95.38005829	1.06042759	0.2713688744988256	0.0397372	0.00859
0.0258	-0.0023	-0.0399	-0.0015271630954950383	0.0006265732014659643	0.0006911503837897545	0.90973741	73.15592194	0.91661342	0.12472222054753591	0.0378935	0.00877
0.0287	0.1277	-0.0615	-0.0017558012275062952	0.0005218534463463045	0.0008098327729253688	0.9896121	79.57899475	0.94791591	0.17710201381332655	0.037698	0.0118
0.0279	0.1959	-0.053	-0.0014259339988793671	0.00042411500823462205	0.0007225663103256524	0.88258451	70.97244263	0.91712265	0.10324360646691633	0.037931	0.014
0.0243	0.0802	-0.0009	-0.0013316862192716734	0.0005166174585903216	0.0007853981633974483	1.07805049	86.69071198	1.00600694	0.18387910415175945	0.0382541	0.01033
0.027	-0.0215	-0.019	-0.0016074482410867775	0.0007417649320975902	0.0009983283321407565	0.98971266	79.58708191	0.9783325	0.15819198320328404	0.0391725	0.00909
0.028	0.1021	-0.0208	-0.0011100294042683937	0.0004886921905584122	0.0010140362954087054	0.96872818	77.89962769	0.95385674	0.16470997708127552	0.0357967	0.00865
0.0089	-0.0657	-0.0152	-0.0014922565104551516	8.726646259971648e-05	0.0009424777960769379	1.1287092	90.76438904	1.02565727	0.23526056667386103	0.0370035	0.00742
0.0068	0.0035	-0.0513	-0.001658062789394613	-2.96705972839036e-05	0.0009023352232810684	0.92988867	74.77637482	0.92986684	0.12354429558094752	0.0337997	0.00631
0.012	-0.0066	-0.0371	-0.0013683381335635543	0.00013264502315156904	0.0008691739674931761	0.8505221	68.39416504	0.89593652	0.05376007660272118	0.0330734	0.00569
0.0052	-0.1172	0.0496	-0.0018325957145940458	0.0003577924966588376	0.00102799892942466	1.1208638	90.1335144	1.03744725	0.2465115008234622	0.0447004	0.01132
0.0105	0.053	0.0467	-0.0014556045961632708	4.363323129985824e-05	0.0010402162341886204	1.09192884	87.80672455	1.00876811	0.2135683844276857	0.0387958	0.00989
0.0091	0.0393	0.0511	-0.0008831366015091308	-0.0002670353755551324	0.0010716321607245184	0.8184185	65.81257629	0.87771729	0.06522762640225142	0.0366566	0.00804
0.0119	-0.1004	0.0724	-0.0015463617172669759	-0.0002565634000431664	0.0009232791743050004	1.05800378	85.07866669	1.002585	0.20490250388446643	0.0449055	0.01149
0.0113	0.1122	0.0407	-0.0010175269539126942	-0.0003193952531149623	0.0010471975511965976	1.26283717	101.55020142	1.08797662	0.2806792496658837	0.0375262	0.01047
0.0135	0.1273	0.0575	-0.0006894050545377602	-0.0005009094953223725	0.0011536626355682519	0.87628484	70.46585846	0.91568222	0.06490506129769993	0.0388557	0.01186
0.0124	-0.08	0.0844	-0.0016842427281745281	-0.00035081117965086024	0.0009756390518648303	1.27729762	102.71303558	1.115381	0.30144797865058504	0.0477766	0.01475
0.0096	0.0216	0.016	-0.0015184364492350666	-0.0002513274122871834	0.001001818990644745	1.10271192	88.67383575	1.02304654	0.18737349925415267	0.0384861	0.00982
0.0036	0.126	0.0243	-0.0005445427266222308	-0.000598647933434055	0.0011728612573401894	1.00371027	80.71269226	0.98461018	0.1933128255227576	0.034435	0.00788
0.0013	-0.0905	0.0761	-0.0012164944886400475	-0.0007749261878854823	0.0009896016858807848	1.31012166	105.35255432	1.11802145	0.3221744793964324	0.0435299	0.01001
-0.0041	0.061	0.0123	-0.0005253441048502931	-0.001064650843716541	0.0010070549784007281	1.17711496	94.65690613	1.0481832	0.2706164166070378	0.0313886	0.00553
-0.0105	0.0324	0.0251	-0.0002024581932313422	-0.001239183768915974	0.0009896016858807848	0.92328131	74.24504852	0.92725551	0.07354360646691635	0.0307682	0.00465
-0.0132	-0.1041	0.0451	-0.0006440264939859076	-0.001155407964820246	0.001022762941668677	1.06991184	86.03623962	0.99803568	0.1871252680319093	0.0370957	0.00585
-0.0171	0.0281	0.0155	2.96705972839036e-05	-0.0013316862192716734	0.0010559241974565693	1.04706907	84.19935608	0.99855818	0.20985683007545655	0.0288636	0.00368
-0.0182	-0.1665	0.0323	-0.0005305800926062762	-0.0007417649320975902	0.0013194689145077131	1.21449375	97.66269684	1.07619788	0.28318583470577036	0.0355882	0.00387
-0.0094	-0.0576	0.019	-0.0003822271061867582	-0.0005323254218582705	0.00152367243699105	0.99386853	79.92127228	0.96376967	0.1590998009571087	0.0291805	0.00252
-0.0124	0.0086	0.0398	-0.0002199114857512855	-0.0009861110273767962	0.0014381513036433276	0.90863323	73.06713104	0.92580568	0.12508111796508603	0.0301382	0.00348
-0.0177	-0.0879	0.0385	-0.0007539822368615504	-0.0010349802464326373	0.001382300767579509	0.96450514	77.56003571	0.95750141	0.1350395253114962	0.0338022	0.00394
-0.0194	0.1055	0.0097	-9.773843811168246e-05	-0.0012863076587198209	0.0013735741213195373	1.1869657	95.4490509	1.05428494	0.2697148928648512	0.027073	0.00306
-0.024	-0.0556	0.0543	-0.0009093165402890458	-0.0013159782560037243	0.0011850785621041497	1.15744531	93.07518768	1.03282546	0.2617872129338327	0.0339719	0.00417
-0.0227	0.0476	0.0181	-0.000710349005561692	-0.0011833332328521555	0.0012147491593880533	1.02554286	82.46833801	0.97612318	0.1587641577581413	0.0287164	0.00307
-0.0254	-0.0179	0.0239	-0.0008499753457212384	-0.0011239920382843482	0.0012740903539558604	0.91182494	73.3237915	0.91870737	0.08691543646475804	0.0294998	0.00296
-0.0221	-0.1059	0.0464	-0.0012636183784438947	-0.0008098327729253688	0.001291543646475804	0.97304171	78.24649811	0.96260538	0.15106277953007893	0.0358951	0.00466
-0.0165	-0.0379	0.0554	-0.0004537856055185257	-0.0008499753457212384	0.0013212142437597075	0.92864418	74.67630005	0.95403269	0.12658229715025712	0.0305485	0.00241
-0.0163	-0.1898	0.0746	-0.0007155849933176752	-0.0006056292504420323	0.001424188669627373	1.10392737	88.77158356	1.00540311	0.20175599544730097	0.0378381	0.00468
