trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0251494	0.00257
-0.0024	0.0258	0.019	0.00019896753472735358	-9.075712110370512e-05	7.504915783575618e-05	1.03863323	74.75034332	0.96925819	0.06543869068334074	0.0247831	0.00179
0.0011	-0.0347	-0.002	0.00014660765716752367	-2.094395102393195e-05	4.363323129985824e-05	1.0565958	76.04310608	0.97019288	0.09267944870877504	0.0238302	0.00114
0.0084	0.0244	0.0109	0.0005881759579220891	0.00010297442586766544	6.108652381980153e-05	0.98649192	70.99773407	0.937526	0.1084469985083053	0.0239607	0.00111
0.0093	-0.0499	0.0313	0.0004468042885105483	0.000317649923862968	-8.726646259971648e-05	0.96391314	69.3727417	0.92791144	0.12082000769131807	0.0226188	0.00078
0.0101	0.0063	0.0597	0.0007208209810736582	0.00034906585039886593	-0.0002181661564992912	1.02506065	73.77352142	0.96154274	0.10721661564992913	0.0229223	0.0009
0.0054	-0.0453	0.0558	0.0004572762640225143	0.00041015237421866745	-0.0002251474735072685	1.06004238	76.29115295	0.97070614	0.07678062789394614	0.0223535	0.00083
0.0017	0.0051	0.0643	0.0006440264939859076	0.0002513274122871834	-0.0002722713633111154	1.03064573	74.17547607	0.95639886	0.08223495408493621	0.0228137	0.00097
0.0064	-0.0284	0.0296	0.00042236967898262774	0.0003769911184307752	-0.000296705972839036	1.07837152	77.61029816	0.97268232	0.0914877565337396	0.0225611	0.00078
0.0287	0.0219	0.0382	0.0012322024519079964	0.0008377580409572782	-0.000322885911618951	1.03411138	74.42490387	0.95848955	0.14603898171158933	0.0213311	0.00055
0.033	-0.0281	0.0216	0.0013962634015954637	0.001022762941668677	-0.00029496064358704166	0.93735766	67.46154785	0.91934072	0.08974955592153876	0.0194178	0.00041
0.0297	0.0126	0.0396	0.0016441001553786586	0.0008866272600131194	-0.0003682644721708035	0.95990002	69.08391571	0.92826688	0.08486381320112571	0.0191652	0.00035
0.0263	-0.0457	0.0295	0.0013142329267517303	0.0009634217471008699	-0.0005427973973702365	0.95511681	68.7396698	0.92185982	0.10085973204570559	0.0183621	0.00034
0.02	-0.0052	0.0481	0.0015550883635269475	0.0008429940287132613	-0.0006859143960337716	0.94049519	67.68735504	0.91879561	0.09062000769131805	0.0188702	0.00033
0.0243	-0.0683	0.0224	0.0011885692206081383	0.0009669124056048585	-0.0006422811647339132	1.01177597	72.81742859	0.95264997	0.11980353755551323	0.0190336	0.00045
0.0184	-0.0068	0.0286	0.0011990411961201044	0.0006998770300497262	-0.0007487462491055673	0.96674484	69.57653809	0.92632691	0.09279862177193764	0.0192748	0.00036
0.0167	-0.0843	0.0186	0.000900589894029074	0.0006370451769779302	-0.0007714355293814937	0.968041	69.66982269	0.9290434	0.10839862177193764	0.0192158	0.00046
0.0221	0.02	0.0188	0.0016982053621904826	0.0007906341511534313	-0.0008918632477691023	1.08441806	78.04547119	0.97980223	0.1634816080362259	0.0180982	0.00032
0.0152	-0.0753	0.0549	0.0013892820845874865	0.0012322024519079964	-0.0014154620233674013	1.18800497	85.50061035	1.0168493	0.202004517697793	0.0179063	0.00039
0.0157	0.0144	0.0451	0.002303834612632515	0.001308996938995747	-0.0014974924982111347	1.0976932	79.00087738	0.98439599	0.15366887449882563	0.0162955	0.00021
0.014	-0.0835	0.083	0.0016755160819145565	0.0015289084247470327	-0.0016807520696705393	1.0972749	78.97077942	0.98259685	0.18907447939643243	0.0181696	0.00041
0.0146	-0.0033	0.0611	0.0022218041377887812	0.0015585790220309364	-0.0016947147036864942	1.06866848	76.91197205	0.96862197	0.13219606435870415	0.0169965	0.00023
0.0217	-0.0783	0.0788	0.0018168877513260971	0.001811651763570114	-0.0017941984710501708	1.0140667	72.98229218	0.94595841	0.13767364476827687	0.0190347	0.00052
