trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0298253	0.03894
0.0073	0.0835	-0.02	0.0006073745796940267	5.759586531581287e-05	-0.00011344640137963142	1.19817984	78.00968933	1.08442248	0.14972084231947355	0.0305413	0.03698
0.0038	-0.0288	0.0247	-0.0002373647782712288	0.00012740903539558605	-0.00011519173063162575	1.26385319	82.28546906	1.12098768	0.2063148928648512	0.0316115	0.04125
-0.0014	0.0775	0.0374	9.773843811168246e-05	0.00015184364492350666	-0.00022863813201125715	1.21382594	79.02835846	1.10347735	0.14784921136452317	0.0313441	0.03597
-0.0099	0.0003	0.0495	-0.0005375614096142535	-4.537856055185256e-05	-0.00012740903539558605	1.08312571	70.51887512	1.02448322	0.14448755749084827	0.0299764	0.03438
0.0036	0.0774	0.01	0.00023911010752322313	0.00013439035240356338	-6.981317007977319e-05	1.20638871	78.54414368	1.08178072	0.18080181477043525	0.0299255	0.03385
-0.0009	-0.0127	0.0243	-0.0003316125578789226	5.585053606381854e-05	-1.7453292519943294e-06	1.12573838	73.29325104	1.04213431	0.14476651612848349	0.0297392	0.03671
0.0052	0.0798	-0.0066	0.0003944444109507184	-1.7453292519943294e-06	8.552113334772214e-05	1.20911825	78.72185516	1.08085328	0.1730459648372585	0.0295302	0.03397
0.0007	-0.0343	-0.0008	-0.00027576202181510406	-6.45771823237902e-05	0.00012042771838760874	1.24189818	80.85604858	1.10614134	0.16279724354387523	0.0298635	0.03862
0.0008	0.0713	-0.0105	0.0003874630939427412	-9.773843811168246e-05	0.0001291543646475804	1.23192394	80.20665741	1.09605649	0.15065565089028543	0.029471	0.03318
-0.008	-0.0283	0.0182	-0.0003106686068549907	-0.0001361356816555577	0.00013264502315156904	1.19367898	77.71665192	1.06965512	0.17410098014227976	0.0297046	0.03668
-0.0046	0.0684	0.0019	0.0003385938748868999	-0.00010297442586766544	0.0001972222054753592	1.15424931	75.14951324	1.05092014	0.15375004599267866	0.0293145	0.03169
-0.0039	-0.0138	0.0132	-0.00034033920413889426	-6.283185307179586e-05	0.00023911010752322313	1.13947368	74.18751526	1.04939211	0.13224817769347638	0.0284156	0.03302
0.0053	0.0659	-0.0286	0.0008517206749732328	0.00030368728984701333	0.0001012290966156711	1.22140992	79.52212524	1.11346033	0.2155230016469244	0.0330266	0.04332
-0.005	0.0237	0.0096	-0.0002251474735072685	8.203047484373349e-05	0.0003769911184307752	1.16892147	76.10476685	1.09224037	0.16941434926494425	0.0289745	0.03201
-0.0131	0.0826	0.0068	-0.0007487462491055673	-0.00029845130209103034	0.0005969026041820607	1.29177201	84.10317993	1.1925571	0.1259996019142174	0.0230597	0.01626
-0.0121	0.0395	0.0225	-0.0007225663103256524	-0.0002897246558310587	0.0006422811647339132	1.1287111	73.48680115	1.05785461	0.06381425727958696	0.0234578	0.01967
-0.0154	0.0264	-0.0004	-0.0005148721293383271	-0.00029845130209103034	0.0006876597252857658	1.02115548	66.48419189	0.99733907	0.05238996938995748	0.0238739	0.02066
-0.0224	-0.0067	0.0128	-0.0009494591130849152	-0.00045902159327450867	0.0006859143960337716	1.05539691	68.71354675	1.00730198	0.08314513020910302	0.0238497	0.02043
-0.0261	0.0694	0.014	-0.0009651670763528643	-0.0004921828490624009	0.000726056968829641	1.07890153	70.24385834	1.02976774	0.08545058959258553	0.022136	0.01329
-0.0291	-0.0032	0.0372	-0.0019216075064457567	-0.000619591884457987	0.0008185594191853405	1.16661191	75.95439911	1.06416309	0.15761759579220888	0.020905	0.01225
